year,value_numeric,baseline,baseline_trend,impact_boost,forecast
2011,,,16.26315789473665,0.0,16.26315789473665
2012,,,19.078947368420813,0.0,19.078947368420813
2013,,,21.894736842104976,0.0,21.894736842104976
2014,22.0,22.0,24.71052631578914,0.0,24.71052631578914
2015,,26.333333333333332,27.5263157894733,0.0,27.5263157894733
2016,,30.666666666666664,30.342105263157464,0.0,30.342105263157464
2017,35.0,35.0,33.15789473684163,0.0,33.15789473684163
2018,,37.75,35.97368421052579,0.0,35.97368421052579
2019,,40.5,38.78947368420995,0.0,38.78947368420995
2020,,43.25,41.605263157895024,0.0,41.605263157895024
2021,46.0,46.0,44.42105263157919,0.0,44.42105263157919
2021,56.0,56.0,44.42105263157919,0.0,44.42105263157919
2021,36.0,36.0,44.42105263157919,0.0,44.42105263157919
2022,,40.333333333333336,47.23684210526335,0.0,47.23684210526335
2023,,44.666666666666664,50.05263157894751,0.0,50.05263157894751
2024,49.0,49.0,52.868421052631675,0.0,52.868421052631675
2025,,49.0,55.68421052631584,0.0,55.68421052631584
2026,,49.0,58.5,0.0,58.5
2027,,49.0,61.31578947368416,0.0,61.31578947368416
